Source;Word;AVG;Google Translate;MK
Warriner;fail;3,5;epäonnistua;epäonnistua
LIWC;failed;3,5;epäonnistui;epäonnistui
;failing;3,5;puuttuessa;epäonnistuva
;fails;3,5;epäonnistuu;epäonnistuu
Warriner;failure;3,5;vika;epäonnistumiset
;failures;3,5;epäonnistumiset;epäonnistumiset
;fairly;5;melko;melko
;FALSE;5;väärä;epätosi
;fanstical;8;fanstical;upea
;fantabulous;7,5;fantabulous;
Warriner;fantastic;7,5;fantastinen;fantastinen
Warriner;fatal;3;kohtalokas;fatal
;fate;5;kohtalo;kohtalo
;fault;4;vika;vika
;favorable;6;suotuisa;suosia
;favourable;6;suotuisa;suotuisa
SentiStrength;fear;4;pelko;pelk
;fearful;4;peloissaan;peloissaan
;fearfulness;4;pelokkuus;pelokkuus
;fearsome;4;hirveä;pelottava
;feasible;5;mahdollinen;mahdoll
;feedback;5;palaute;palaute
;feel;5;tuntea;tuntea
;feel;5;tuntea;tunne
;finding;5;havainto;havainto
SentiStrength;fine;5,5;hieno;hieno
;focusing;5;tarkennus;keskitt
;foiled;5;foiled;ehkäis
;following;5;seurata;seurata
;forgot;4,5;unohti;unoh
;fortune;5;onni;onni
;found;5;löydetty;löydetty
Warriner;free;5,5;vapaa;vapaa
Warriner;freedom;6;vapaus;vapaus
Warriner;friendly;6;ystävällinen;ystävällinen
;fright;4,5;säikähdys;säikäh
;frightening;4,5;pelottava;pelottava
;frightful;3,5;pelottava;pelott
Russel;frustrated;3;turhautunut;turhaut
STACK OVERFLOW;frustrating;3;turhauttava;turhauttava
SentiStrength;garbage;5;roska;roska
;generally;5;yleisesti;yleis
;give;5;antaa;antaa
Russel;glad;5,5;iloinen;iloinen
Russel;gloomy;4;synkkä;synkkä
Warriner;good;6,5;hyvä;hyvä
SentiStrength;great;7,5;loistava;loistava
;greatly;6,5;suuresti;suuresti
SentiStrength;grief;2,5;suru;suru
;grotesque;4;groteski;irvokas
;guess;5;arvaus;arvaus
;guessing;5;arvaamaan;arvaamaan
;guys;5;te;te
;handling;5;käsittely;käsittely
;happen;5;tapahtua;tapahtu
LIWC;happier;6,5;onnellisempi;onnellisempi
Warriner;happy;6,5;onnellinen;onnell
;hassle;4,5;hässäkkä;hässäkkä
;headache;4;päänsärky;päänsärky
;hear;5;kuulla;kuulla
;hearthache;3,5;hearthache;murhe
;hearthbreak;3,5;hearthbreak;suru
LIWC;hell;2,5;helvetti;helvetti
;help;5;auta;auta
STACK OVERFLOW;helpful;6,5;hyödyllinen;hyödyllinen
SentiStrength;hero;5,5;sankari;ankari
;hi;5;Moi;moi
;high;5;korkea;korkea
;higher;5;korkeampi;korkeampi
;highly;5,5;erittäin;erittäin
;hits;5;osumia;osum
;hold ;5;pitää;pitää
;honored;5,5;kunnioitettava;kunnioit
SentiStrength;hope;6;toivoa;toivo
;hopefully;5,5;Toivon mukaan;toivottavasti
;hoping;5;toivoen;toivo
;horrendous;2;kauhistuttava;kaihistuttava
Warriner;horrible;2;kamala;kamala
;horrific;2;kauhistuttava;kauhistuttava
;horrifying;2,5;kauhistuttava;hirvittävä
;however;5;kuitenkin;kuitenkin
;human;5;ihmisen;ihminen
;hurt;3;satuttaa;sattua
;hurting;3;vahingoittaa;vahigoit
;idea;5;ajatus;idea
;ideal;5,5;ihanteellinen;ihanteellinen
;ignore;5;jättää huomiotta;jättää huomiotta
SentiStrength;ignored;5;huomiotta;huomiotta
;ignores;5;ohitettavista;ohittaa
Warriner;illegal;4,5;laiton;laiton
;immorality;4;moraalittomuus;moraalittomuus
;important;5;tärkeä;tärkeä
;impossible;3,5;mahdoton;mahdoton
LIWC;impressive;6,5;vaikuttava;vaikuttava
;inconvenient;4;epämukava;epämukava
;indeed;5;todellakin;todella
Warriner;independence;5;itsenäisyys;itsenäisyys
;independency;5;riippumattomuus;riippumattomuus
;information;5;tiedot;tieto
;infraction;4,5;infraction;rike
;infringement;4,5;rikkominen;loukkaus
;iniquity;4;vääryys;vääryys
LIWC;inspired;5,5;innoittunut;inspiroitunut
;interested;5,5;kiinnostunut;kiinnostunut
;interesting;6;mielenkiintoista;mielenkiintoista
;irritated;3,5;ärtynyt;ärty
;irritating;3,5;ärsyttävä;ärsytt
;irritation;3,5;ärsytys;ärsytys
LIWC;isolation;5;eristäminen;erist
;issue;4,5;ongelma;ongelma
Warriner;joy;7;ilo;iloinen
Warriner;kill;4,5;tappaa;tappaa
SentiStrength;killed;4,5;surmattu;surmata
;killing;4;tappaminen;tappaminen
LIWC;kills;4,5;tappaa;tappaa
;launched;5;käynnistettiin;käynnistettiin
;left;5;vasen;vasen
;level;5;taso;taso
;liberate;5;vapauttaa;vapauttaa
;lie;4,5;valehdella;vale
SentiStrength;lies;4,5;valheita;valeh
;little;5;vähän;vähän
;looks;5;ulkonäkö;näyttää
;loose;5;löysä;löysä
;lost;4,5;menetetty;menet
SentiStrength;love;6,5;rakkaus;hieno
LIWC;low;5;matala;matala
SentiStrength;luck;5;onni;onni
;major;4,5;suuri;iso
Warriner;malicious;3,5;ilkeä;haital
;meaning;5;merkitys;merkitys
;messy;4;sotkuinen;sotku
Russel;miserable;3;kurja;kurja
LIWC;missed;4,5;hukata;hukata
SentiStrength;misses;4,5;piti;piti
LIWC;missing;4,5;puuttuva;puuttu
;mistake;4;virhe;virhe
;moving;5;liikkuva;liikku
;name;5;nimi;nimi
;nasty;3;ilkeä;ilkeä
;neat;6;siisti;siisti
;need;5;tarve;tarve
;needs;5;tarpeisiin;tarp
Warriner;negative;4;negatiivinen;negatiiv
;neglect;4;laiminlyödä;laiminlyödä
;neglected;4;laiminlyöty;laiminlyöty
;new;5;Uusi;uusi
;nice;6,5;kiva;kiva
;nicht;5;nicht;
;obviously;5;ilmeisesti;ilmeis
;occurred;5;tapahtui;tapahtui
;occurs;5;tapahtuu;tapahtu
;ok;5;kunnossa;ok
;okay;5;Okei;okei
;onslaught;4;hyökkäystä;hyökkäys
;oops;4,5;Oho;oho
;originative;5;originative;saada alkunsa
;overlooked;4,5;unohdettu;unohdettu
;overstep;4,5;ylittää;ylittää
;ovverride;4,5;ovverride;ohittaa
Warriner;pain;3;kipu;kipu
;painful;3;tuskallinen;tuskall
;particulars;5;tarkemmat tiedot;yksityiskohta
;pass;5,5;kulkea;kulkea
;patch;5;läikkä;päivitys
;peculiar;4,5;erikoinen;erikoinen
;perish;4,5;menehtyä;tuhoutua
;pissed;2,5;kännissä;vihainen
Russel;pleased;7;tyytyväinen;tyytyväinen
;portion;5;osa;osa
Warriner;positive;6;positiivinen;positiivinen
;practice;5;harjoitella;harjoit
SentiStrength;precious;5,5;kallisarvoinen;kallisarvoinen
;preferable;5,5;parempi;parempi
Warriner;pretty;6;nätti;nätti
;priority;5;prioriteetti;prioriteetti
STACK OVERFLOW;problem;4,5;ongelma;ongelma
;problems;4,5;ongelmia;ongelmia
;profane;4;epäpyhä;häväistä
;proposing;5;ehdottaa;ehdot
;protected;5;suojattu;suojattu
;public;5;julkinen;julkinen
;quiet;5;hiljainen;hiljainen
;quite;5;melko;melko
;redundant;4,5;tarpeeton;tarpeeton
;refuse;4,5;kieltäytyä;kieltäy
;regards;5;terveiset;terveis
;regretful;3,5;pahoillaan;pahoillaan
LIWC;rejecting;4,5;hylättiin;hylät
;rejoice;6;iloita;iloita
Warriner;relax;5,5;rentoutua;rentoutua
SentiStrength;relaxed;5,5;rento;rento
;release;5;julkaisu;julkaisu
;relish;5;nautittavuus;nauttia
;required;5;edellytetään;edellytys
;resolve;5,5;ratkaista;ratkai
SentiStrength;respected;5,5;arvostettu;arvost
;restart;5;uudelleenkäynnistää;uudelleenkäynnistää
;restarted;5;uudelleen;uudelleen
;return;5;palata;palata
LIWC;rich;5,5;rikas;rikas
;right;5;oikea;oikea
;riot;5;mellakka;mellakka
;ripping;5;kopiointi;kopioi
Warriner;sad;3,5;surullinen;surullinen
Warriner;safe;6;turvallinen;turvallinen
;said;5;sanoi;sanoi
Russel;satisfied;6;vakuuttunut;vakuuttunut
SentiStrength;scary;3;pelottava;pelottava
;scratch;5;naarmu;naarmu
;scream;4;huutaa;huutaa
Russel;serene;6;seesteinen;seesteinen
;silently;5;hiljaa;hiljaa
Russel;sleepy;5;unelias;unealias
Warriner;smart;5,5;fiksu;fiksu
;smartness;5,5;smartness;fiksuus
Warriner;smile;6;hymy;hymy
;smiling;6;hymyilevä;hymyilevä
;solution;5;ratkaisu;ratkaisu
LIWC;sorry;5;anteeksi;anteeksi
;sounds;5;äänet;äänet
LIWC;special;5;erityinen;erityinen
;specific;5;erityinen;tietty
;specified;5;määritetty;spesifinen
;splendid;7;loistava;loistava
;strain;4,5;rasitus;rasitus
Warriner;stress;4;stressi;stress
;stung;5;pistelee;pistää
;succeed;5,5;menestyä;menestyä
SentiStrength;success;6;menestys;menestys
Warriner;successful;7;onnistunut;onnistu
;suffer;3,5;kärsiä;kärsiä
;suffering;3,5;kärsimys;kärsimys
SentiStrength;suffers;3,5;kärsii;kärsii
;suggestions;5;ehdotukset;ehdotukset
;sulky;4;pahantuulinen;pahatuulinen
SentiStrength;super;7;Super;erinomai
;teasing;5;kiusanteko;kiusata
Russel;tense;4,5;jännittynyt;jännittynyt
Warriner;terrible;2;kauhea;kauhe
Warriner;thank;6;kiittää;kiittää
LIWC;thanks;6;Kiitos;kiitos
;think;5;ajatella;ajatella
;thinking;5;ajattelu;ajattelu
;thwarted;4,5;tyhjäksi;estää
;thx;6;Kiitti;kiitti
Russel;tired;4,5;väsynyt;väsynyt
LIWC;top;5;ylin;ylin
Warriner;traffic;5;liikenne;liikenne
;tranquil;5,5;rauhallinen;rauhallinen
;transcend;5,5;ylittää;ylittää
;treasured;6;arvossa;arvossa
;trivial;5;triviaali;triviaali
;trouble;4,5;vaivata;vaiva
LIWC;troubles;4,5;ongelmia;ongelm
LIWC;TRUE;5;totta;totta
;trump;5;valtti;päihittää
;trust;5,5;luottamus;luottamus
;ugly;4;ruma;ruma
;unclear;5;epäselvä;epäselvä
;understand;5;ymmärtää;ymmärt
LIWC;unfortunately;4;valitettavasti;valitettavasti
Warriner;unhappy;4;onneton;onneton
;unnecessary;4,5;tarpeeton;tarpeeton
;unspeakable;4,5;sanoin kuvaamaton;käsittämätöm
LIWC;unsuccessful;4;epäonnistunut;epäonnistunut
;unusable;3,5;käyttökelvoton;käyttökelvoton
;unwind;5;rentoutua;rentoutunut
;useful;6;hyödyllinen;hyödyllinen
SentiStrength;useless;3,5;hyödytön;hyödytön
;value;5;arvo;arvo
;very;5;erittäin;erittäin
;veto;4,5;veto;veto
;vexing;4;Kiusallinen;kiusallinen
Warriner;victim;5;uhri;uhri
SentiStrength;violated;4,5;rikotaan;rikot
Warriner;violation;4,5;rikkominen;rike
Warriner;virus;4;virus;virus
;void;5;mitätön;void
LIWC;vulnerability;4,5;alttius;alttius
;wanted;5;halusi;halusi
;warn;5;varoittaa;varoittaa
;well;5,5;hyvin;hyvin
;willing;5;halukas;halukas
LIWC;win;5;voittaa;voitto
Warriner;wisdom;6;viisaus;viisaus
;wonderful;7;ihana;ihana
;wondering;5;Mietitkö;mietitkö
;worked;5,5;teki töitä;onnistu
;works;5,5;teokset;toimi
;worried;4;huolestunut;huolestunut
Warriner;worry;4;huoli;huoli
SentiStrength;wow;6;Vau;vau
